target_id,human_symbol,old_feature_value,new_feature_value,resolved_status,change,mouse_symbols,homozygous_tested_procedures,impc_release,release_date
6909,MUC4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Muc4,0,DR24,2026-03-16
3581,MYH7,0.0,,not_phenotyped,synthetic_zero_to_unknown,Myh7,0,DR24,2026-03-16
4924,MYLK,0.0,,not_phenotyped,synthetic_zero_to_unknown,Mylk,0,DR24,2026-03-16
22949,NANOG,0.0,,not_phenotyped,synthetic_zero_to_unknown,Nanog,0,DR24,2026-03-16
17227,NFE4,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
4008,NFKB2,,,not_phenotyped,remains_unknown,Nfkb2,0,DR24,2026-03-16
142,NGF,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ngf,0,DR24,2026-03-16
5349,NIF3L1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Nif3l1,0,DR24,2026-03-16
836,NLRP3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Nlrp3,0,DR24,2026-03-16
3228,NOB1,,,not_phenotyped,remains_unknown,Nob1,0,DR24,2026-03-16
3945,NOX1,,0.0,adequately_phenotyped_no_significant,unknown_to_observed,Nox1,20,DR24,2026-03-16
1717,NPR1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Npr1,0,DR24,2026-03-16
933,NQO1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Nqo1,0,DR24,2026-03-16
1040,NR3C1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Nr3c1,0,DR24,2026-03-16
28561,NTRAS,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
5330,OGA,0.0,,not_phenotyped,synthetic_zero_to_unknown,Oga,0,DR24,2026-03-16
1180,OLR1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Olr1,0,DR24,2026-03-16
5376,OPRK1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Oprk1,0,DR24,2026-03-16
261,OPRM1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Oprm1,0,DR24,2026-03-16
27913,OR5M8,0.0,,not_phenotyped,synthetic_zero_to_unknown,Or5m8,0,DR24,2026-03-16
5844,OSMR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Osmr,0,DR24,2026-03-16
16870,OSR2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Osr2,0,DR24,2026-03-16
22281,OVCH1,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
17260,OXGR1,,0.0,adequately_phenotyped_no_significant,unknown_to_observed,Oxgr1,19,DR24,2026-03-16
3872,P2RX3,0.0,,not_phenotyped,synthetic_zero_to_unknown,P2rx3,0,DR24,2026-03-16
16,P2RY12,0.0,,not_phenotyped,synthetic_zero_to_unknown,P2ry12,0,DR24,2026-03-16
1419,PDCD1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pdcd1,0,DR24,2026-03-16
9,PDE3A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pde3a,0,DR24,2026-03-16
56,PDE4A,,,not_phenotyped,remains_unknown,Pde4a,0,DR24,2026-03-16
33,PDE4B,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pde4b,0,DR24,2026-03-16
52,PDE4D,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pde4d,0,DR24,2026-03-16
68,PDE9A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pde9a,0,DR24,2026-03-16
3151,PDGFB,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pdgfb,0,DR24,2026-03-16
4146,PGR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pgr,0,DR24,2026-03-16
2458,PIK3CA,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pik3ca,0,DR24,2026-03-16
2457,PIK3CD,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pik3cd,0,DR24,2026-03-16
3669,PIK3R1,,,not_phenotyped,remains_unknown,Pik3r1,0,DR24,2026-03-16
7001,PIP4P2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pip4p2,0,DR24,2026-03-16
19915,PISD,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pisd,0,DR24,2026-03-16
19452,PKLR,,,not_phenotyped,remains_unknown,Pklr,0,DR24,2026-03-16
17,PLG,0.0,,not_phenotyped,synthetic_zero_to_unknown,Plg,0,DR24,2026-03-16
27748,PNLIPRP3,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
129,PNPLA3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pnpla3,0,DR24,2026-03-16
18737,PORCN,0.0,,not_phenotyped,synthetic_zero_to_unknown,Porcn,0,DR24,2026-03-16
1272,PPARD,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ppard,0,DR24,2026-03-16
834,PPP1R2B,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
3885,PRDX1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Prdx1,0,DR24,2026-03-16
2234,PRKAA1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Prkaa1,0,DR24,2026-03-16
1845,PRKAR2B,0.0,,not_phenotyped,synthetic_zero_to_unknown,Prkar2b,0,DR24,2026-03-16
3416,PRKCB,0.0,,not_phenotyped,synthetic_zero_to_unknown,Prkcb,0,DR24,2026-03-16
3634,PROC,0.0,,not_phenotyped,synthetic_zero_to_unknown,Proc,0,DR24,2026-03-16
23511,PSENEN,0.0,,not_phenotyped,synthetic_zero_to_unknown,Psenen,0,DR24,2026-03-16
3000,PSMB8,0.0,,not_phenotyped,synthetic_zero_to_unknown,Psmb8,0,DR24,2026-03-16
18463,PSMD1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Psmd1,0,DR24,2026-03-16
2399,PTEN,0.0,,not_phenotyped,synthetic_zero_to_unknown,Pten,0,DR24,2026-03-16
6877,PTGDR2,,,not_phenotyped,remains_unknown,Ptgdr2,0,DR24,2026-03-16
3592,PTGER4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ptger4,0,DR24,2026-03-16
7299,PTGFR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ptgfr,0,DR24,2026-03-16
5161,PTGIR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ptgir,0,DR24,2026-03-16
18,PTGS2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ptgs2,0,DR24,2026-03-16
398,PTK2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ptk2,0,DR24,2026-03-16
1519,PTPN11,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ptpn11,0,DR24,2026-03-16
3927,RARA,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rara,0,DR24,2026-03-16
