comparison,old_run,new_run,n_pairs,n_approved,old_auc,new_auc,delta_auc,old_auc_ci_lo,old_auc_ci_hi,new_auc_ci_lo,new_auc_ci_hi,old_brier,new_brier,old_recall_at_10pct,new_recall_at_10pct,old_precision_at_10pct,new_precision_at_10pct,old_rs_top_decile,new_rs_top_decile,old_ece,new_ece,synthetic_zero_to_unknown,synthetic_zero_to_observed,unknown_to_observed,unchanged,remains_unknown
stacked_no_nelson,stacked_final_no_nelson_consensus_v3,stacked_final_no_nelson_impc_dr24_v4,10685,336,0.5679864974301635,0.5704430264713867,0.0024565290412232,0.5403248752762426,0.6018632643235435,0.5423772407649496,0.6019212687018616,0.03041347626033021,0.030411282728568332,0.12202380952380952,0.13988095238095238,0.03838951310861423,0.04400749063670412,1.2514981273408239,1.4644291953397355,0.0021418313865827,0.0020251542890539556,353,6,6,20,59
logreg_no_nelson,logreg_final_no_nelson_consensus_v3,logreg_final_no_nelson_impc_dr24_v4,10685,336,0.571663526266628,0.5710544266986919,-0.0006090995679361,0.5421780087121092,0.6020942888573453,0.5407395422584321,0.5981639045447517,0.25070724793016186,0.25426139020503824,0.16666666666666666,0.1636904761904762,0.052434456928838954,0.05149812734082397,1.8009363295880152,1.7624821730843565,0.4388001151057233,0.44158160632195714,353,6,6,20,59
stacked_with_nelson,stacked_final_with_nelson_consensus_v3,stacked_final_with_nelson_impc_dr24_v4,10685,336,0.6049471653575915,0.6024198910407723,-0.0025272743168192,0.5769820054392024,0.6373711842214423,0.5728764954683493,0.6356166263115416,0.030260689821487798,0.03026730035308247,0.23809523809523808,0.24404761904761904,0.0749063670411985,0.07677902621722846,2.8139630149812733,2.9070232091775043,0.0027982968110224493,0.002796992293961175,353,6,6,20,59
logreg_with_nelson,logreg_final_with_nelson_consensus_v3,logreg_final_with_nelson_impc_dr24_v4,10685,336,0.6139738023917655,0.6123084125910486,-0.0016653898007169,0.581662790386338,0.6455113290167175,0.5829266890115667,0.6418076803541857,0.2389931152514008,0.24302830115316992,0.22321428571428573,0.23809523809523808,0.0702247191011236,0.0749063670411985,2.5875521976839297,2.8139630149812733,0.4257592287957484,0.42894574529760904,353,6,6,20,59
